customer_id,age,gender,city,income_level,loyalty_score,membership_years,total_spent,avg_purchase_value,purchase_frequency,preferred_category,last_purchase_days_ago,discount_usage_rate,online_shopper,email_open_rate,sms_response_rate,app_usage,returns_count,satisfaction_score,churn_risk,campaign_response,referral_count,preferred_payment,coupon_redeemed,seasonal_spender,weekend_shopper,avg_cart_size,store_visits_per_month,website_visits_per_month,app_sessions_per_month,customer_segment,preferred_channel,complaints_count,net_promoter_score,account_age_days,has_subscription,subscription_type,days_since_last_login,engagement_score,lifetime_value_estimate,marketing_action,spend_per_purchase,client_score,is_elite
CUST100010,28,Female,Shymkent,Low,30.3,2,7759.5,369.01,37,Clothing,341,0.01,False,0.64,0.6,Medium,10,1.7,Medium,No,7,Cash,False,True,True,2.02,10,20,29,Gold,Social Media,3,57,1273,True,,209,95.7,3886.63,Standard News,204.19736842105263,3888.84,False
CUST100011,28,Female,Astana,High,22.09,4,8176.76,442.38,15,Groceries,126,0.22,True,0.53,0.71,Low,3,4.53,High,No,1,Cash,False,False,False,7.54,4,19,31,Bronze,Social Media,4,-95,857,True,Basic,280,61.42,6239.85,Standard News,511.0475,4095.007,True
CUST100012,41,Female,Karaganda,Medium,67.02,6,5051.59,286.98,2,Electronics,174,0.96,True,0.03,0.09,Medium,12,2.03,High,No,1,Online Wallet,True,False,True,11.31,12,45,31,Platinum,Email,7,-29,2587,True,,76,38.88,13750.33,Standard News,1683.8633333333335,2545.9010000000003,False
CUST100013,53,Male,Karaganda,High,91.47,9,6979.34,132.87,34,Electronics,57,0.5,False,0.81,0.29,Medium,19,1.21,Medium,No,1,Card,False,True,False,4.09,14,29,23,Silver,Social Media,5,81,1225,False,Premium,206,54.15,17910.11,Premium Offer,199.4097142857143,3517.111,False
CUST100014,57,Male,Almaty,Medium,34.82,4,868.24,425.19,20,Groceries,134,0.36,True,0.51,0.51,High,15,1.48,Low,No,4,Online Wallet,False,False,False,18.85,12,26,32,Silver,App,3,-48,1748,True,Premium,347,73.16,17675.93,Standard News,41.3447619047619,444.56600000000003,False
CUST100015,41,Male,Almaty,Low,27.24,9,8510.33,385.15,30,Electronics,140,0.32,False,0.11,0.77,High,7,3.07,Medium,No,4,Online Wallet,True,True,True,15.05,2,28,4,Platinum,Email,9,-6,2688,False,,246,40.24,17060.43,Standard News,274.52677419354836,4263.3369999999995,True
CUST100016,20,Female,Astana,High,22.61,1,8344.01,81.01,16,Beauty,47,0.42,False,0.19,0.34,High,19,3.5,Medium,No,3,Card,False,True,False,15.39,2,18,5,Silver,Social Media,6,10,2895,True,,264,42.74,3015.32,Standard News,490.8241176470588,4178.7880000000005,True
CUST100017,39,Male,Almaty,Medium,25.45,5,6964.68,436.83,44,Beauty,155,0.21,True,0.66,0.5,Low,11,1.1,Medium,No,5,Cash,True,True,False,11.74,2,40,34,Bronze,Social Media,2,-99,3185,False,,158,18.57,770.85,Standard News,154.77066666666667,3489.9750000000004,False
CUST100018,19,Female,Astana,Low,13.49,6,9171.64,480.14,4,Clothing,183,0.75,True,0.08,0.5,High,4,3.81,Low,Yes,8,Cash,False,False,True,7.02,11,18,9,Bronze,Social Media,6,-100,2971,True,,68,2.98,8436.63,Standard News,1834.328,4589.866999999999,True
CUST100019,41,Female,Astana,Medium,59.68,1,571.58,271.18,31,Beauty,215,0.51,True,0.87,0.93,High,16,1.3,Low,No,4,Cash,True,False,False,18.93,2,32,28,Platinum,Email,8,83,1814,False,Premium,264,75.37,6870.52,Standard News,17.861875,303.694,False
CUST100020,61,Male,Astana,High,28.08,9,2386.54,23.99,26,Clothing,162,0.75,True,0.79,0.85,High,2,3.6,High,No,5,Cash,True,True,False,14.46,2,3,9,Bronze,Email,4,-36,1758,True,,183,71.97,19291.27,Standard News,88.39037037037036,1201.694,False
CUST100021,47,Female,Almaty,High,61.49,7,3689.2,458.23,41,Clothing,124,0.25,False,0.31,0.86,High,0,1.24,Medium,No,0,Card,True,True,True,12.15,9,12,16,Silver,Social Media,5,47,611,False,,349,80.86,9659.39,Standard News,87.83809523809524,1863.0469999999998,False
CUST100022,55,Male,Shymkent,Medium,8.3,4,1670.03,65.77,12,Beauty,310,0.0,False,0.88,0.17,Medium,15,2.2,Medium,Yes,4,Cash,True,False,False,11.62,7,44,2,Platinum,Email,6,7,1332,True,Basic,5,27.37,11160.21,Standard News,128.46384615384616,837.505,False
CUST100023,19,Female,Astana,Low,11.55,7,8166.79,318.4,2,Groceries,352,0.97,False,0.89,0.9,High,2,4.54,High,No,5,Card,False,True,True,8.91,4,26,0,Gold,App,6,31,424,False,Premium,216,83.72,10932.98,Standard News,2722.2633333333333,4086.86,True
CUST100024,38,Female,Shymkent,Low,53.61,2,7596.21,203.45,8,Groceries,136,0.51,True,0.84,0.39,Low,16,4.84,High,No,0,Card,False,True,False,13.63,11,24,37,Silver,App,8,-70,2479,True,,168,66.87,4719.0,Standard News,844.0233333333333,3814.188,False
CUST100025,50,Male,Karaganda,Low,51.15,1,7755.2,496.06,14,Clothing,115,0.08,True,0.31,0.54,Low,3,1.21,High,No,6,Cash,True,False,True,13.07,9,31,36,Silver,SMS,9,47,487,True,Basic,353,32.88,14805.74,Standard News,517.0133333333333,3892.9449999999997,False
CUST100026,29,Female,Almaty,Low,27.15,6,2983.81,459.0,24,Groceries,129,0.1,True,0.66,0.61,High,2,4.29,Low,No,3,Online Wallet,True,False,True,10.92,7,34,28,Silver,Email,0,8,2165,False,Basic,136,77.44,3871.81,Standard News,119.3524,1500.05,False
CUST100027,39,Female,Almaty,Medium,82.71,4,7650.59,393.33,43,Electronics,277,0.43,False,0.45,0.43,Medium,0,3.4,Low,No,5,Cash,False,False,True,9.73,11,21,29,Bronze,App,4,-1,950,False,,220,26.3,14294.29,Premium Offer,173.87704545454545,3850.108,False
CUST100028,61,Female,Shymkent,High,18.7,4,1318.27,103.64,40,Groceries,212,0.7,True,0.54,0.34,Low,5,4.74,Medium,Yes,4,Online Wallet,True,True,False,1.09,1,34,17,Gold,App,5,63,2343,True,Premium,88,35.85,17678.64,Standard News,32.152926829268296,664.745,False
CUST100029,42,Female,Karaganda,Medium,36.07,7,1157.32,351.1,41,Electronics,279,0.4,False,0.41,0.25,High,10,2.55,Low,Yes,3,Cash,True,True,False,19.36,10,20,32,Bronze,Social Media,6,-99,1790,False,Basic,134,74.21,3739.58,Standard News,27.555238095238092,589.481,False
CUST100030,66,Female,Karaganda,High,55.55,8,5882.17,288.21,25,Beauty,205,0.82,True,0.0,0.51,Low,7,3.74,Medium,No,4,Card,False,True,True,17.65,2,26,7,Gold,App,0,79,2511,True,Premium,118,75.19,12334.01,Standard News,226.2373076923077,2957.75,False
CUST100031,44,Female,Astana,High,86.72,7,581.82,72.0,7,Clothing,309,0.33,True,0.01,0.84,Medium,5,1.34,High,No,2,Online Wallet,False,False,True,10.32,0,29,38,Silver,SMS,7,83,675,False,,152,45.64,3872.15,Standard News,72.7275,316.92600000000004,False
CUST100032,59,Female,Almaty,Medium,41.86,9,9392.64,398.37,32,Clothing,224,0.05,True,0.77,0.77,Low,4,2.21,High,Yes,8,Card,True,False,False,3.36,11,31,31,Gold,Social Media,7,99,1429,False,Premium,69,67.16,19184.02,Standard News,284.62545454545455,4708.878,True
CUST100033,45,Female,Karaganda,Medium,39.86,1,3355.58,47.8,23,Clothing,185,0.01,True,0.95,0.51,High,4,2.86,High,No,0,Online Wallet,True,True,True,6.04,5,39,5,Platinum,Email,5,24,3203,True,Basic,273,82.28,14947.5,Standard News,139.81583333333333,1689.748,False
CUST100034,33,Male,Karaganda,Low,57.95,9,4822.62,243.4,46,Groceries,185,0.86,True,0.23,0.34,Low,17,2.73,High,No,8,Card,True,True,True,1.9,11,25,38,Platinum,Social Media,7,-15,562,True,Basic,338,95.84,4589.9,Standard News,102.60893617021276,2428.695,False
CUST100035,32,Male,Astana,High,31.67,6,8150.97,216.15,39,Clothing,332,0.98,True,0.54,0.01,High,9,4.1,Low,Yes,4,Cash,False,True,True,4.15,4,29,39,Bronze,Email,7,-70,3145,True,Basic,253,89.67,7431.17,Standard News,203.77425,4084.9860000000003,True
CUST100036,64,Female,Astana,Low,70.92,4,4060.52,404.07,26,Groceries,62,0.13,True,0.31,0.21,Medium,13,1.39,High,Yes,6,Card,False,False,False,8.16,14,13,19,Platinum,Email,0,-93,1064,False,Basic,110,74.09,4417.36,Standard News,150.38962962962964,2051.536,False
CUST100037,68,Female,Shymkent,Low,24.87,6,4363.39,216.65,42,Clothing,190,0.06,True,0.48,0.19,High,14,1.24,High,Yes,9,Online Wallet,True,False,False,14.31,11,36,38,Bronze,SMS,6,34,2625,True,Basic,195,3.57,3573.84,Standard News,101.47418604651163,2189.156,False
CUST100038,61,Male,Almaty,Medium,82.32,2,3544.65,348.68,7,Electronics,363,0.91,True,0.12,0.59,Low,14,1.34,High,Yes,6,Card,False,True,True,16.94,0,34,20,Bronze,SMS,5,36,2614,True,Premium,131,15.75,4955.78,Standard News,443.08125,1797.021,False
CUST100039,69,Female,Karaganda,Low,27.24,3,3582.06,241.74,47,Groceries,299,0.1,False,0.73,0.92,High,4,1.01,Low,No,3,Cash,False,True,False,1.6,13,35,22,Gold,Email,9,16,1165,True,,211,77.5,18052.18,Standard News,74.62625,1799.202,False
CUST100040,20,Male,Shymkent,Low,99.27,6,4732.76,293.1,45,Electronics,74,0.23,False,0.52,0.32,Medium,1,2.18,Low,No,9,Card,True,True,True,12.57,3,27,11,Platinum,Email,2,-47,2265,False,,52,38.01,10710.98,Standard News,102.88608695652174,2396.161,False
CUST100041,54,Male,Almaty,Low,31.65,1,9464.69,124.32,4,Electronics,193,0.8,False,0.31,0.79,High,5,4.67,High,No,1,Card,True,False,False,2.91,6,43,2,Platinum,Email,7,52,1441,False,Premium,354,72.81,5936.74,Standard News,1892.938,4741.84,True
CUST100042,68,Male,Shymkent,Medium,87.88,1,9366.58,105.21,44,Beauty,228,1.0,False,0.66,0.33,High,9,3.78,High,No,0,Card,True,False,True,15.68,2,46,10,Silver,Social Media,9,-38,2963,False,Premium,9,1.51,2787.29,Premium Offer,208.1462222222222,4709.6539999999995,True
CUST100043,24,Female,Almaty,Low,39.74,0,5497.1,356.41,25,Beauty,347,0.49,False,0.51,0.96,Low,7,2.34,High,No,9,Online Wallet,True,True,False,4.53,7,48,7,Silver,SMS,6,79,2455,True,Premium,138,80.76,4641.21,Standard News,211.4269230769231,2760.472,False
CUST100044,38,Female,Almaty,Low,24.61,0,4614.0,65.55,18,Electronics,117,0.21,True,0.4,0.19,Medium,17,1.82,Low,No,6,Card,False,True,True,12.16,10,12,9,Platinum,SMS,6,99,303,False,Premium,186,96.15,9379.85,Standard News,242.8421052631579,2314.383,False
CUST100045,26,Female,Karaganda,Medium,22.62,0,8100.8,92.11,7,Clothing,194,0.85,True,0.53,0.41,High,12,3.91,Low,Yes,1,Card,False,False,True,4.75,13,34,27,Platinum,Social Media,1,-84,2051,True,Basic,337,71.64,5482.88,Standard News,1012.6,4057.186,True
CUST100046,56,Male,Almaty,Medium,85.02,5,6841.2,470.77,22,Beauty,151,0.39,False,0.95,0.15,Low,6,3.78,Medium,Yes,1,Card,True,True,False,12.6,10,37,15,Platinum,Social Media,6,-53,3645,False,,328,58.86,19847.0,Premium Offer,297.44347826086954,3446.1059999999998,False
CUST100047,35,Male,Astana,Medium,30.88,4,8827.48,130.4,4,Beauty,327,0.27,True,0.07,0.23,Medium,18,3.4,Low,Yes,5,Cash,False,False,False,6.33,3,48,11,Gold,SMS,1,-67,2300,False,Basic,233,86.68,2048.42,Standard News,1765.4959999999999,4423.004,True
CUST100048,21,Male,Karaganda,High,33.86,9,7333.06,165.03,29,Electronics,197,0.49,True,0.92,0.11,High,3,4.49,Low,Yes,4,Online Wallet,False,False,False,8.19,5,11,39,Bronze,App,2,-20,2997,False,Basic,76,62.22,19207.96,Standard News,244.43533333333335,3676.688,False
CUST100049,42,Female,Astana,Medium,19.7,7,9528.21,318.43,24,Electronics,98,0.86,True,0.13,0.11,Medium,8,3.45,High,No,4,Card,False,True,True,8.33,13,6,18,Bronze,SMS,4,84,1007,True,Basic,326,36.16,13997.51,Standard News,381.12839999999994,4770.014999999999,True
CUST100050,31,Male,Shymkent,High,96.13,4,8873.83,222.98,40,Electronics,119,0.23,False,0.21,0.63,Medium,6,2.45,Low,Yes,1,Online Wallet,True,False,True,14.7,1,49,37,Platinum,Social Media,9,-73,3302,False,,203,40.61,7339.0,Premium Offer,216.4348780487805,4465.754,True
CUST100051,67,Male,Shymkent,Medium,24.47,0,8566.97,281.71,38,Groceries,253,0.42,True,0.98,0.78,High,9,3.94,Low,No,6,Online Wallet,False,True,False,14.25,2,14,36,Silver,App,0,-78,2071,False,Premium,134,81.85,5981.27,Standard News,219.66589743589742,4290.826,True
CUST100052,26,Female,Almaty,Medium,24.74,7,3976.33,76.57,41,Groceries,204,0.44,False,0.81,0.08,Low,19,1.95,Medium,Yes,7,Card,False,False,False,15.61,6,33,12,Gold,Social Media,1,22,2239,True,,120,82.36,1025.49,Standard News,94.6745238095238,1995.587,False
CUST100053,43,Male,Almaty,Medium,94.39,5,3923.5,337.84,12,Groceries,361,0.83,True,0.35,0.22,Low,4,3.46,Low,Yes,0,Card,True,True,True,1.68,7,11,1,Platinum,Email,9,-1,1104,True,Premium,116,14.87,17913.96,Standard News,301.8076923076923,1990.067,False
CUST100054,19,Male,Astana,High,90.09,7,7437.91,82.51,9,Groceries,253,0.68,True,0.4,0.32,Low,6,1.15,Low,Yes,3,Card,False,True,False,1.96,7,45,13,Silver,Social Media,4,64,3378,True,,289,59.92,15379.81,Premium Offer,743.7909999999999,3745.982,False
CUST100055,37,Female,Astana,Low,24.89,1,929.12,375.12,15,Groceries,158,0.78,True,0.3,0.94,High,1,2.71,High,No,8,Online Wallet,True,True,False,12.1,10,5,14,Bronze,Social Media,6,-45,3041,True,Basic,19,9.79,13043.8,Standard News,58.07,472.027,False
CUST100056,45,Female,Astana,Medium,86.47,9,3289.92,264.19,13,Groceries,285,0.69,False,0.23,0.6,Medium,8,1.33,High,Yes,9,Online Wallet,False,False,False,18.26,10,27,24,Gold,Social Media,0,27,463,True,Basic,305,39.71,15457.08,Standard News,234.99428571428572,1670.901,False
CUST100057,64,Male,Shymkent,High,24.98,7,9329.02,409.02,30,Beauty,39,0.59,False,0.06,0.11,Low,19,4.85,Medium,Yes,5,Card,False,True,True,19.57,4,43,37,Gold,SMS,1,-21,2926,True,Premium,25,97.54,12441.61,Standard News,300.93612903225807,4672.004,True
CUST100058,24,Female,Astana,Medium,8.45,5,4556.0,90.48,35,Groceries,237,0.13,False,0.03,0.37,Low,11,1.6,High,No,0,Cash,True,False,True,19.9,1,3,23,Bronze,Social Media,8,95,661,False,Premium,188,9.51,9640.23,Standard News,126.55555555555556,2280.535,False
CUST100059,61,Male,Karaganda,Low,82.04,0,2771.99,191.88,35,Clothing,116,0.83,True,0.5,0.72,Medium,7,2.21,Low,No,5,Card,False,True,True,7.89,3,18,36,Platinum,SMS,3,91,3531,True,Basic,146,76.62,19293.11,Standard News,76.99972222222222,1410.607,False
CUST100060,25,Female,Karaganda,High,77.16,0,4816.88,424.18,26,Groceries,13,0.61,True,0.53,0.98,High,5,2.05,Low,Yes,4,Card,False,False,False,11.3,7,35,26,Platinum,Social Media,1,-59,2632,False,Basic,164,40.62,15401.63,Standard News,178.40296296296296,2431.588,False
CUST100061,64,Male,Shymkent,Medium,29.47,9,2957.04,400.36,19,Electronics,43,0.7,False,0.76,0.74,High,10,2.26,Medium,No,7,Cash,False,False,False,4.37,13,3,28,Bronze,App,6,14,1170,True,Premium,216,6.45,10711.56,Standard News,147.852,1487.3609999999999,False
CUST100062,52,Female,Astana,Medium,9.01,4,7705.78,483.05,21,Clothing,219,0.78,False,0.1,0.18,High,8,2.77,Medium,No,5,Cash,True,False,False,4.69,12,10,15,Gold,App,4,7,962,True,Premium,323,6.72,18832.07,Standard News,350.26272727272726,3855.593,False
CUST100063,31,Male,Astana,Medium,20.64,6,8520.99,114.87,21,Groceries,161,0.31,False,0.51,0.82,High,5,2.06,High,Yes,2,Online Wallet,True,False,False,12.46,12,31,37,Gold,Social Media,7,77,318,False,Premium,260,96.08,11082.82,Standard News,387.31772727272727,4266.687,True
CUST100064,34,Female,Almaty,Low,77.11,3,7848.32,271.82,13,Groceries,166,0.44,True,0.92,0.0,Low,12,2.51,Low,No,5,Online Wallet,True,False,False,14.58,7,12,5,Bronze,Email,0,83,357,False,Premium,318,90.82,9639.98,Standard News,560.5942857142857,3947.2929999999997,False
CUST100065,53,Female,Karaganda,High,96.47,9,1575.57,13.85,21,Electronics,131,0.54,True,0.85,0.48,Low,19,2.07,High,Yes,1,Card,False,True,True,11.53,0,21,10,Gold,Social Media,0,-67,893,True,Basic,52,88.55,1502.25,Standard News,71.61681818181818,816.726,False
CUST100066,67,Female,Shymkent,Medium,25.9,4,3426.97,482.79,24,Electronics,215,0.34,False,0.53,0.35,Medium,9,4.91,High,Yes,3,Card,True,False,True,18.93,6,19,30,Silver,App,8,46,1303,True,Basic,126,44.83,18894.08,Standard News,137.0788,1721.2549999999999,False
CUST100067,57,Female,Astana,Medium,81.83,9,2218.31,91.69,26,Electronics,297,0.26,False,0.13,0.95,Medium,11,2.15,Medium,No,0,Card,True,True,True,7.0,6,7,13,Bronze,SMS,8,-26,1790,True,Basic,197,64.09,9887.42,Standard News,82.15962962962963,1133.704,False
CUST100068,21,Female,Almaty,High,22.79,2,523.71,452.83,44,Clothing,138,0.78,False,0.16,0.05,Medium,4,2.21,Low,No,1,Online Wallet,False,False,True,4.24,14,29,7,Platinum,Email,9,44,2066,False,,243,2.5,7571.67,Standard News,11.638000000000002,268.692,False
CUST100069,19,Female,Shymkent,Low,67.96,1,7417.84,340.77,31,Clothing,342,0.75,True,0.48,0.26,Low,4,2.48,Low,Yes,5,Online Wallet,False,True,False,9.15,11,26,29,Silver,App,5,21,590,False,Premium,86,30.05,458.33,Standard News,231.8075,3729.308,False
CUST100070,23,Female,Shymkent,Low,8.36,1,4340.76,468.74,30,Clothing,105,0.83,False,0.62,0.26,High,3,3.52,High,No,3,Online Wallet,False,True,True,19.55,13,29,19,Gold,Social Media,9,-27,1932,True,,134,99.62,16239.8,Standard News,140.02451612903226,2172.888,False
CUST100071,59,Male,Karaganda,Low,58.53,4,2838.57,127.87,24,Beauty,287,0.7,True,0.98,0.42,Low,19,4.88,Low,No,9,Cash,False,True,True,12.07,5,3,34,Gold,Social Media,0,86,3366,False,Premium,27,85.67,10553.23,Standard News,113.5428,1436.844,False
CUST100072,21,Male,Astana,Low,26.92,3,3144.52,175.86,32,Beauty,122,0.31,True,0.83,0.92,High,7,3.35,Medium,No,7,Card,True,False,False,2.88,5,15,2,Platinum,Social Media,3,46,2253,False,,203,21.16,15669.89,Standard News,95.28848484848484,1580.336,False
CUST100073,46,Female,Shymkent,Low,92.58,1,1436.66,86.38,30,Beauty,305,0.33,False,0.41,0.65,High,10,4.94,High,No,9,Cash,False,True,False,7.35,4,28,35,Gold,App,8,28,3318,True,Premium,95,46.59,19244.04,Standard News,46.343870967741935,746.104,False
CUST100074,35,Female,Almaty,Medium,28.98,4,8284.93,214.1,26,Clothing,52,0.53,True,0.35,0.12,Medium,13,2.38,Medium,No,7,Cash,True,True,False,17.34,12,45,33,Bronze,SMS,6,64,3485,True,,318,85.61,18300.7,Standard News,306.84925925925927,4151.159000000001,True
CUST100075,43,Male,Almaty,Medium,39.84,9,1524.85,474.01,38,Beauty,131,0.84,False,0.01,0.82,Medium,15,4.68,Low,Yes,9,Cash,True,True,True,12.64,2,37,25,Platinum,Email,2,-81,214,False,Premium,138,26.59,17863.9,Standard News,39.09871794871795,774.377,False
CUST100076,61,Male,Shymkent,Medium,84.07,8,3449.33,287.73,18,Beauty,146,0.35,False,0.01,0.63,High,6,2.56,Low,Yes,4,Card,True,True,False,16.97,8,29,32,Bronze,Email,1,-73,2748,True,Premium,55,51.46,4384.26,Standard News,181.54368421052632,1749.886,False
CUST100077,51,Female,Almaty,High,43.83,7,173.14,210.98,41,Electronics,326,0.77,True,0.47,0.02,Low,16,3.51,Medium,No,7,Cash,False,True,True,3.06,2,20,19,Silver,SMS,1,-74,1947,False,Basic,89,25.4,12676.88,Standard News,4.1223809523809525,99.719,False
CUST100078,27,Male,Shymkent,Low,23.84,8,4420.47,165.81,49,Electronics,32,0.31,False,0.07,0.92,Low,16,1.21,High,Yes,3,Card,False,True,False,10.97,0,12,12,Platinum,App,6,99,3247,True,Basic,181,63.55,11813.6,Standard News,88.4094,2217.387,False
CUST100079,53,Male,Almaty,High,54.75,8,3612.53,294.46,12,Beauty,77,0.34,True,0.16,0.05,Medium,17,1.02,Low,No,6,Online Wallet,False,True,False,14.43,10,0,35,Gold,Social Media,7,1,782,False,Premium,338,21.6,15198.93,Standard News,277.8869230769231,1822.69,False
CUST100080,31,Female,Shymkent,Low,84.0,7,7219.11,362.99,21,Beauty,332,0.75,False,0.98,0.61,Medium,5,1.9,Low,No,5,Cash,False,True,False,5.81,3,5,4,Silver,App,2,68,2589,False,,300,5.4,3815.44,Premium Offer,328.1413636363636,3634.7549999999997,False
CUST100081,48,Female,Shymkent,Low,43.32,8,7181.6,206.36,23,Beauty,122,0.68,True,0.72,0.6,High,8,1.15,High,Yes,4,Card,True,True,False,14.75,11,38,28,Silver,Social Media,9,13,224,False,Basic,299,90.39,4222.01,Standard News,299.23333333333335,3603.7960000000003,False
CUST100082,65,Female,Shymkent,High,13.29,3,482.45,119.29,28,Beauty,82,0.21,True,0.45,0.61,High,15,2.69,Medium,Yes,4,Cash,False,True,True,10.53,12,30,24,Silver,Email,0,-4,256,True,Basic,110,64.42,14095.6,Standard News,16.636206896551723,245.212,False
CUST100083,32,Male,Almaty,Medium,38.31,7,1247.05,294.58,17,Electronics,54,0.83,False,0.86,0.85,High,7,2.79,High,Yes,4,Online Wallet,True,True,True,15.27,0,12,8,Gold,SMS,1,-69,300,True,,12,14.72,19284.06,Standard News,69.28055555555555,635.018,False
CUST100084,25,Female,Shymkent,High,95.45,1,9055.8,185.95,15,Electronics,8,0.78,True,0.18,0.12,Medium,18,4.82,Medium,No,2,Online Wallet,True,False,False,10.85,6,5,27,Gold,SMS,6,0,1269,False,,94,38.47,3975.56,Premium Offer,565.9875,4556.535,True
CUST100085,31,Female,Karaganda,Medium,7.2,8,7938.8,497.19,23,Beauty,189,0.8,False,0.39,0.53,High,5,1.69,Low,Yes,6,Cash,False,True,True,14.18,2,20,8,Bronze,Email,9,-91,1574,True,Premium,143,81.42,19465.09,Standard News,330.78333333333336,3971.56,True
CUST100086,40,Male,Shymkent,Low,40.84,8,3955.9,223.32,34,Electronics,317,0.47,True,0.29,0.57,High,15,2.81,High,No,2,Card,True,False,False,7.65,4,10,26,Silver,Social Media,5,-76,3649,True,,77,31.09,158.93,Standard News,113.02571428571429,1990.202,False
CUST100087,57,Female,Astana,Medium,64.8,2,1747.11,220.07,28,Groceries,47,0.33,False,1.0,0.4,High,17,2.23,Low,No,4,Online Wallet,False,False,True,17.66,3,0,14,Silver,SMS,4,-51,1408,False,Premium,244,60.15,15369.56,Standard News,60.2451724137931,892.9949999999999,False
CUST100088,38,Male,Astana,Low,7.85,5,2681.73,420.54,4,Electronics,248,0.85,False,0.9,0.53,Low,12,1.24,Medium,Yes,8,Online Wallet,False,False,True,8.7,3,17,29,Bronze,Email,0,39,1921,False,,268,81.55,12759.68,Standard News,536.346,1343.22,False
CUST100089,33,Male,Karaganda,Low,34.5,6,6614.46,129.25,41,Electronics,345,0.59,False,0.53,0.5,High,4,1.43,High,No,5,Card,False,True,False,16.33,12,17,9,Silver,App,5,-59,764,True,Basic,320,45.1,14285.82,Standard News,157.48714285714286,3317.58,False
CUST100090,62,Male,Shymkent,Medium,94.06,2,9460.38,37.66,12,Beauty,67,0.93,False,0.42,0.76,Medium,9,4.51,High,Yes,8,Online Wallet,True,True,False,6.82,4,27,29,Silver,App,2,16,3479,True,,122,97.26,16669.79,Premium Offer,727.7215384615384,4758.407999999999,True
